match_id,TEAM,MAP_PICK,WIN
2304715,Selfless,Cobblestone,N
2304715,RONIN,Train,Y
2304715,RONIN,Train,N
2304729,ANOX,Train,N
2304729,LGR,Cache,N
2304732,Virtus.pro,0.0,Y
2304732,Gambit,0.0,Y
2304733,Cloud9,0.0,Y
2304733,FlipSid3,0.0,Y
2304734,Envy,0.0,Y
2304734,Heroic,0.0,Y
2304735,Dignitas,0.0,N
2304735,FaZe,0.0,N
2304736,Tengri,Train,Y
2304736,HellRaisers,Cobblestone,Y
2304737,NRG,Cobblestone,Y
2304737,OpTic,Cache,Y
2304738,TSM,Dust2,N
2304738,TSM,Dust2,Y
2304738,"Echo Fox",Mirage,N
2304738,"Echo Fox",Mirage,Y
2304739,NokSuKao,Mirage,N
2304739,Gambit,Dust2,N
2304740,Complexity,Cache,N
2304740,Immortals,Overpass,N
2304741,Tengri,Mirage,Y
2304741,Spirit,Dust2,Y
2304753,Epsilon,Overpass,N
2304753,Epsilon,Overpass,Y
2304753,Tricked,Mirage,N
2304753,Tricked,Mirage,Y
2304754,Tricked,Train,N
2304754,Tricked,Train,Y
2304754,GODSENT,Overpass,N
2304754,GODSENT,Overpass,Y
2304755,Tricked,Mirage,N
2304755,passions,Cobblestone,N
2304756,Gambit,Cobblestone,Y
2304756,Gambit,Cobblestone,N
2304756,Preparation,Mirage,Y
2304756,Preparation,Mirage,N
2304757,Preparation,Nuke,N
2304757,passions,Overpass,N
2304758,Gambit,Mirage,N
2304758,Tricked,Cobblestone,N
2304759,Heroic,Overpass,Y
2304759,Heroic,Overpass,N
2304759,GODSENT,Train,Y
2304759,GODSENT,Train,N
2304760,Heroic,Mirage,Y
2304760,Gambit,Train,Y
2304761,Heroic,Overpass,Y
2304761,Heroic,Overpass,N
2304761,Epsilon,Mirage,Y
2304761,Epsilon,Mirage,N
2304763,Preparation,Overpass,N
2304763,FlipSid3,Cobblestone,N
2304764,Preparation,Dust2,Y
2304764,GODSENT,Mirage,Y
2304767,Tricked,Cobblestone,Y
2304767,Preparation,Nuke,Y
2304768,GODSENT,Cache,Y
2304768,Epsilon,Dust2,Y
2304769,Heroic,Overpass,Y
2304769,Heroic,Overpass,N
2304769,passions,Mirage,Y
2304769,passions,Mirage,N
2304772,Complexity,Cache,Y
2304772,OpTic,Cobblestone,Y
2304774,TSM,Dust2,N
2304774,TSM,Dust2,Y
2304774,Selfless,Mirage,N
2304774,Selfless,Mirage,Y
2304775,Liquid,Dust2,Y
2304775,eUnited,Mirage,Y
2304776,Splyce,Overpass,Y
2304776,"Echo Fox",Nuke,Y
2304777,NRG,Cobblestone,N
2304777,CLG,Cache,N
2304782,DarkPassage,0.0,N
2304782,WinFiction,0.0,N
2304786,XPC,Mirage,N
2304786,HEADSHOTBG,Cobblestone,N
2304787,iNETKOXTV,Dust2,Y
2304787,WinFiction,Train,Y
2304788,Alpha,Cobblestone,Y
2304788,PRIDE,Cache,Y
2304791,Immortals,Cobblestone,N
2304791,TSM,Mirage,N
2304792,"Echo Fox",Nuke,Y
2304792,"Echo Fox",Nuke,N
2304792,Liquid,Mirage,Y
2304792,Liquid,Mirage,N
2304793,OpTic,Cache,Y
2304793,Renegades,Dust2,Y
2304799,NRG,Overpass,Y
2304799,SK,Dust2,Y
2304802,Bpro,Overpass,Y
2304802,Bpro,Overpass,N
2304802,XPC,Cache,Y
2304802,XPC,Cache,N
2304807,Heroic,0.0,Y
2304807,Virtus.pro,0.0,Y
2304808,Gambit,Cobblestone,N
2304808,Envy,Cache,N
2304810,FaZe,0.0,Y
